predictors,k,WAIC,CPO,DIC,Mlik,row
dist_km+may_bin+len_bin+wood_pct,4,473.1841874232842,238.9043530460442,465.0532249101958,-255.33733847507395,log marginal-likelihood (integration)75
dist_km+may_bin+len_bin+wood_bin,4,478.9185797698691,241.29077458376256,468.42408264275804,-255.67558603456868,log marginal-likelihood (integration)76
dist_km+may_bin+urban_pct+wood_pct,4,485.4614575674648,247.20607031194106,477.5312911420048,-262.2776890206905,log marginal-likelihood (integration)77
dist_km+may_bin+urban_pct+wood_bin,4,485.4936875473693,244.37121325409362,476.07837880670445,-260.379709390459,log marginal-likelihood (integration)78
dist_km+may_bin+wood_pct+wood_bin,4,486.0477319886609,249.53841403853187,476.82117881332476,-260.7755545756864,log marginal-likelihood (integration)79
dist_km+len_bin+urban_pct+wood_pct,4,483.93993522643063,245.9236840596661,475.5361291038207,-261.36474626822894,log marginal-likelihood (integration)80
dist_km+len_bin+urban_pct+wood_bin,4,485.4333218482514,244.0980548732213,475.95496449332137,-260.38821354828275,log marginal-likelihood (integration)81
dist_km+len_bin+wood_pct+wood_bin,4,490.28696189943014,250.21127985120108,480.89042991342626,-262.8529382908397,log marginal-likelihood (integration)82
dist_km+urban_pct+wood_pct+wood_bin,4,509.07200647446473,262.4136517161068,497.9856667457282,-272.11063004808085,log marginal-likelihood (integration)83
poverty_index+may_bin+len_bin+urban_pct,4,733.95956010661655,369.1848136556339,697.9520933133023,-371.40049590018833,log marginal-likelihood (integration)84
poverty_index+may_bin+len_bin+wood_pct,4,729.1101792111143,368.527874052953,695.142081863701,-370.27718996950523,log marginal-likelihood (integration)85
poverty_index+may_bin+len_bin+wood_bin,4,732.741576900324,368.5157447162475,698.0741200882187,-370.4484601188555,log marginal-likelihood (integration)86
poverty_index+may_bin+urban_pct+wood_pct,4,783.094921178156,394.4773081087187,747.1612453177462,-396.9916237343841,log marginal-likelihood (integration)87
poverty_index+may_bin+urban_pct+wood_bin,4,789.4602828597228,397.3049418438212,752.4996846224448,-398.4963809046198,log marginal-likelihood (integration)88
poverty_index+may_bin+wood_pct+wood_bin,4,764.071348530459,384.7435362494275,734.4725480587269,-389.59844989565335,log marginal-likelihood (integration)89
poverty_index+len_bin+urban_pct+wood_pct,4,716.6210460014727,360.11572896775095,689.5892619288041,-368.20969907626244,log marginal-likelihood (integration)90
poverty_index+len_bin+urban_pct+wood_bin,4,728.7942117771364,365.42982333981996,698.4579625244812,-371.531678573423,log marginal-likelihood (integration)91
poverty_index+len_bin+wood_pct+wood_bin,4,714.0535524831389,359.2519854499498,690.3914166221937,-367.5452233582157,log marginal-likelihood (integration)92
poverty_index+urban_pct+wood_pct+wood_bin,4,755.1413294906035,378.22972609801934,736.515623955649,-391.2416470550818,log marginal-likelihood (integration)93
may_bin+len_bin+urban_pct+wood_pct,4,722.8930687591339,364.6337136021775,689.5821667131656,-367.3848668642446,log marginal-likelihood (integration)94
may_bin+len_bin+urban_pct+wood_bin,4,736.140446309172,369.9779281413647,699.4357736270823,-371.18319724260743,log marginal-likelihood (integration)95
may_bin+len_bin+wood_pct+wood_bin,4,721.731020646089,364.8654360550753,690.1212665645224,-366.62326003790605,log marginal-likelihood (integration)96
may_bin+urban_pct+wood_pct+wood_bin,4,764.0880088328471,384.6043623078221,735.9124511439952,-390.1072917648995,log marginal-likelihood (integration)97
len_bin+urban_pct+wood_pct+wood_bin,4,709.4438318742154,356.62067672665245,685.4433872909257,-364.9737657442628,log marginal-likelihood (integration)98
dist_km+poverty_index+may_bin+len_bin+urban_pct,5,459.98459530750085,231.10046835144252,451.02329384359444,-253.4384583017808,log marginal-likelihood (integration)99
dist_km+poverty_index+may_bin+len_bin+wood_pct,5,461.9324034455334,237.2841281707378,452.826798750274,-254.57527464473344,log marginal-likelihood (integration)100
dist_km+poverty_index+may_bin+len_bin+wood_bin,5,463.54055369143066,233.4091499881074,453.5501399758712,-253.5767692889385,log marginal-likelihood (integration)101
dist_km+poverty_index+may_bin+urban_pct+wood_pct,5,480.8328064404078,246.99702115931683,470.6163950564129,-264.1774791263295,log marginal-likelihood (integration)102
dist_km+poverty_index+may_bin+urban_pct+wood_bin,5,480.76056465331266,242.0915539157195,470.2189931360946,-262.8110585041227,log marginal-likelihood (integration)103
